id_parameter,cd_parameter,cd_configuration,cd_algorithm,ds_algorithm,cd_function,ds_function,id_device,ds_device,cd_dataset,cd_resource,nr_iterations,ds_tp_parameter,vl_dataset_row_size,vl_dataset_column_size,vl_grid_row_size,vl_grid_column_size,vl_block_row_size,vl_block_column_size,ds_status_parallelism,vl_block_size_percent_dataset,ds_resource,nr_nodes,nr_computing_units_cpu,nr_computing_units_gpu,vl_memory_per_cpu_computing_unit,vl_memory_per_gpu_computing_unit,ds_dataset,vl_dataset_memory_size,ds_data_type,vl_data_type_memory_size,vl_dataset_size,vl_dataset_row_size,vl_dataset_column_size,nr_random_state
19,10,1,1,KMEANS,1,_PARTIAL_SUM,1,CPU,10,1,5,VAR_BLOCK_CAPACITY_SIZE,250000000,10,4,83333334,62500000,3,,0.25,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_BIG_10GB_2,10000000000,FLOAT32,4,2500000000,250000000,10,170
20,10,2,1,KMEANS,1,_PARTIAL_SUM,2,GPU,10,1,5,VAR_BLOCK_CAPACITY_SIZE,250000000,10,4,83333334,62500000,3,,0.25,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_BIG_10GB_2,10000000000,FLOAT32,4,2500000000,250000000,10,170
21,11,1,1,KMEANS,1,_PARTIAL_SUM,1,CPU,11,1,5,VAR_BLOCK_CAPACITY_SIZE,25000000,100,4,1000000,6250000,25,,0.25,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_BIG_10GB_3,10000000000,FLOAT32,4,2500000000,25000000,100,170
22,11,2,1,KMEANS,1,_PARTIAL_SUM,2,GPU,11,1,5,VAR_BLOCK_CAPACITY_SIZE,25000000,100,4,1000000,6250000,25,,0.25,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_BIG_10GB_3,10000000000,FLOAT32,4,2500000000,25000000,100,170
23,12,1,1,KMEANS,1,_PARTIAL_SUM,1,CPU,12,1,5,VAR_BLOCK_CAPACITY_SIZE,50000,50000,4,4,12500,12500,,0.25,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_BIG_10GB_4,10000000000,FLOAT32,4,2500000000,50000,50000,170
24,12,2,1,KMEANS,1,_PARTIAL_SUM,2,GPU,12,1,5,VAR_BLOCK_CAPACITY_SIZE,50000,50000,4,4,12500,12500,,0.25,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_BIG_10GB_4,10000000000,FLOAT32,4,2500000000,50000,50000,170
25,13,1,1,KMEANS,1,_PARTIAL_SUM,1,CPU,1,1,5,VAR_BLOCK_CAPACITY_SIZE,2500,1,2,2500,1250,1,,0.5,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_SMALL_10KB_1,10000,FLOAT32,4,2500,2500,1,170
26,13,2,1,KMEANS,1,_PARTIAL_SUM,2,GPU,1,1,5,VAR_BLOCK_CAPACITY_SIZE,2500,1,2,2500,1250,1,,0.5,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_SMALL_10KB_1,10000,FLOAT32,4,2500,2500,1,170
27,14,1,1,KMEANS,1,_PARTIAL_SUM,1,CPU,2,1,5,VAR_BLOCK_CAPACITY_SIZE,250,10,2,50,125,5,,0.5,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_SMALL_10KB_2,10000,FLOAT32,4,2500,250,10,170
28,14,2,1,KMEANS,1,_PARTIAL_SUM,2,GPU,2,1,5,VAR_BLOCK_CAPACITY_SIZE,250,10,2,50,125,5,,0.5,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_SMALL_10KB_2,10000,FLOAT32,4,2500,250,10,170
29,15,1,1,KMEANS,1,_PARTIAL_SUM,1,CPU,3,1,5,VAR_BLOCK_CAPACITY_SIZE,25,100,2,1,13,50,,0.5,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_SMALL_10KB_3,10000,FLOAT32,4,2500,25,100,170
30,15,2,1,KMEANS,1,_PARTIAL_SUM,2,GPU,3,1,5,VAR_BLOCK_CAPACITY_SIZE,25,100,2,1,13,50,,0.5,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_SMALL_10KB_3,10000,FLOAT32,4,2500,25,100,170
31,16,1,1,KMEANS,1,_PARTIAL_SUM,1,CPU,4,1,5,VAR_BLOCK_CAPACITY_SIZE,50,50,2,2,25,25,,0.5,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_SMALL_10KB_4,10000,FLOAT32,4,2500,50,50,170
32,16,2,1,KMEANS,1,_PARTIAL_SUM,2,GPU,4,1,5,VAR_BLOCK_CAPACITY_SIZE,50,50,2,2,25,25,,0.5,MINOTAURO_1,2,8,1,128000000000,12000000000,SYNTHETIC_SMALL_10KB_4,10000,FLOAT32,4,2500,50,50,170
